seed,fold,model,arm,condition,client,n,accuracy,f1,auroc
1,2,weak-MLP,arm2,100,1,38,0.5526,0.7119,0.4146
1,2,weak-MLP,arm2,100,2,49,0.5918,0.7436,0.3052
1,2,weak-MLP,arm2,100,3,53,0.566,0.7229,0.4275
1,2,weak-MLP,arm2,1.0,global,184,0.5543,0.7133,0.399
1,2,weak-MLP,arm2,1.0,0,63,0.3333,0.5,0.4252
1,2,weak-MLP,arm2,1.0,1,56,0.9821,0.991,0.3636
1,2,weak-MLP,arm2,1.0,2,22,0.6818,0.8108,0.4095
1,2,weak-MLP,arm2,1.0,3,43,0.2558,0.4074,0.3239
1,2,weak-MLP,arm2,0.5,global,184,0.5543,0.7133,0.399
1,2,weak-MLP,arm2,0.5,0,39,0.5128,0.678,0.4079
1,2,weak-MLP,arm2,0.5,1,42,0.4524,0.623,0.373
1,2,weak-MLP,arm2,0.5,2,55,0.2727,0.4286,0.3583
1,2,weak-MLP,arm2,0.5,3,48,1.0,1.0,nan
1,2,weak-MLP,arm2,0.1,global,184,0.5543,0.7133,0.399
1,2,weak-MLP,arm2,0.1,0,18,0.2222,0.3636,0.375
1,2,weak-MLP,arm2,0.1,1,36,0.4722,0.6415,0.4365
1,2,weak-MLP,arm2,0.1,2,50,0.02,0.0392,0.3673
1,2,weak-MLP,arm2,0.1,3,80,1.0,1.0,nan
1,2,weak-MLP,arm2,natural,global,184,0.5543,0.7133,0.399
1,2,weak-MLP,arm2,natural,0,61,0.5082,0.6739,0.4043
1,2,weak-MLP,arm2,natural,1,61,0.3115,0.475,0.2669
1,2,weak-MLP,arm2,natural,2,30,0.9333,0.9655,0.3929
1,2,weak-MLP,arm2,natural,3,32,0.75,0.8571,0.4531
1,3,weak-MLP,arm2,100,global,184,0.5543,0.7133,0.3555
1,3,weak-MLP,arm2,100,0,41,0.5122,0.6774,0.3476
1,3,weak-MLP,arm2,100,1,40,0.575,0.7302,0.3734
1,3,weak-MLP,arm2,100,2,59,0.5763,0.7312,0.2929
1,3,weak-MLP,arm2,100,3,44,0.5455,0.7059,0.4167
1,3,weak-MLP,arm2,1.0,global,184,0.5543,0.7133,0.3555
1,3,weak-MLP,arm2,1.0,0,60,0.3667,0.5366,0.2907
1,3,weak-MLP,arm2,1.0,1,60,0.9833,0.9916,0.3559
1,3,weak-MLP,arm2,1.0,2,18,0.7222,0.8387,0.3846
1,3,weak-MLP,arm2,1.0,3,46,0.1739,0.2963,0.4276
1,3,weak-MLP,arm2,0.5,global,184,0.5543,0.7133,0.3555
1,3,weak-MLP,arm2,0.5,0,39,0.5128,0.678,0.3421
1,3,weak-MLP,arm2,0.5,1,40,0.525,0.6885,0.3709
1,3,weak-MLP,arm2,0.5,2,58,0.2414,0.3889,0.3474
1,3,weak-MLP,arm2,0.5,3,47,1.0,1.0,nan
1,3,weak-MLP,arm2,0.1,global,184,0.5543,0.7133,0.3555
1,3,weak-MLP,arm2,0.1,0,13,0.2308,0.375,0.5
1,3,weak-MLP,arm2,0.1,1,35,0.5143,0.6792,0.2614
1,3,weak-MLP,arm2,0.1,2,58,0.0517,0.0984,0.3939
1,3,weak-MLP,arm2,0.1,3,78,1.0,1.0,nan
1,3,weak-MLP,arm2,natural,global,184,0.5543,0.7133,0.3555
1,3,weak-MLP,arm2,natural,0,64,0.4531,0.6237,0.3882
1,3,weak-MLP,arm2,natural,1,53,0.3585,0.5278,0.2554
1,3,weak-MLP,arm2,natural,2,18,0.9444,0.9714,0.1765
1,3,weak-MLP,arm2,natural,3,49,0.7551,0.8605,0.3761
1,4,weak-MLP,arm2,100,global,184,0.5543,0.7133,0.3574
1,4,weak-MLP,arm2,100,0,37,0.5405,0.7018,0.3471
1,4,weak-MLP,arm2,100,1,39,0.4872,0.6552,0.5079
1,4,weak-MLP,arm2,100,2,47,0.5532,0.7123,0.3993
1,4,weak-MLP,arm2,100,3,61,0.6066,0.7551,0.2297
1,4,weak-MLP,arm2,1.0,global,184,0.5543,0.7133,0.3574
1,4,weak-MLP,arm2,1.0,0,60,0.3667,0.5366,0.4569
1,4,weak-MLP,arm2,1.0,1,50,0.98,0.9899,0.2653
1,4,weak-MLP,arm2,1.0,2,25,0.72,0.8372,0.254
1,4,weak-MLP,arm2,1.0,3,49,0.2653,0.4194,0.3077
1,4,weak-MLP,arm2,0.5,global,184,0.5543,0.7133,0.3574
1,4,weak-MLP,arm2,0.5,0,31,0.4516,0.6222,0.3445
1,4,weak-MLP,arm2,0.5,1,46,0.5217,0.6857,0.5133
1,4,weak-MLP,arm2,0.5,2,55,0.2364,0.3824,0.3297
1,4,weak-MLP,arm2,0.5,3,52,0.9808,0.9903,0.0588
1,4,weak-MLP,arm2,0.1,global,184,0.5543,0.7133,0.3574
1,4,weak-MLP,arm2,0.1,0,14,0.2857,0.4444,0.3
1,4,weak-MLP,arm2,0.1,1,33,0.4848,0.6531,0.375
1,4,weak-MLP,arm2,0.1,2,55,0.0,0.0,nan
1,4,weak-MLP,arm2,0.1,3,82,1.0,1.0,nan
1,4,weak-MLP,arm2,natural,global,184,0.5543,0.7133,0.3574
1,4,weak-MLP,arm2,natural,0,62,0.4355,0.6067,0.4995
1,4,weak-MLP,arm2,natural,1,59,0.3729,0.5432,0.2088
1,4,weak-MLP,arm2,natural,2,24,0.9583,0.9787,0.0
1,4,weak-MLP,arm2,natural,3,39,0.7692,0.8696,0.2926
2,0,weak-MLP,arm2,100,global,184,0.5707,0.6902,0.553
2,0,weak-MLP,arm2,100,0,44,0.5,0.6207,0.5354
2,0,weak-MLP,arm2,100,1,59,0.5932,0.7209,0.4976
2,0,weak-MLP,arm2,100,2,36,0.5833,0.6809,0.613
2,0,weak-MLP,arm2,100,3,45,0.6,0.7188,0.6155
2,0,weak-MLP,arm2,1.0,global,184,0.5707,0.6902,0.553
2,0,weak-MLP,arm2,1.0,0,16,0.25,0.25,0.7143
2,0,weak-MLP,arm2,1.0,1,28,0.3929,0.4138,0.5238
2,0,weak-MLP,arm2,1.0,2,117,0.6325,0.7543,0.5589
2,0,weak-MLP,arm2,1.0,3,23,0.6957,0.8,0.6964
2,0,weak-MLP,arm2,0.5,global,184,0.5707,0.6902,0.553
2,0,weak-MLP,arm2,0.5,0,33,0.2121,0.0,nan
2,0,weak-MLP,arm2,0.5,1,65,0.4154,0.5,0.5233
2,0,weak-MLP,arm2,0.5,2,46,0.8913,0.9425,nan
2,0,weak-MLP,arm2,0.5,3,40,0.75,0.8485,0.7359
2,0,weak-MLP,arm2,0.1,global,184,0.5707,0.6902,0.553
2,0,weak-MLP,arm2,0.1,0,32,0.2188,0.0,nan
2,0,weak-MLP,arm2,0.1,1,67,0.3582,0.3944,0.5711
2,0,weak-MLP,arm2,0.1,2,55,0.8909,0.9423,nan
2,0,weak-MLP,arm2,0.1,3,30,0.8333,0.9091,nan
2,0,weak-MLP,arm2,natural,global,184,0.5707,0.6902,0.553
2,0,weak-MLP,arm2,natural,0,60,0.5333,0.6316,0.5818
2,0,weak-MLP,arm2,natural,1,64,0.4375,0.5385,0.4875
2,0,weak-MLP,arm2,natural,2,23,0.9565,0.9767,1.0
2,0,weak-MLP,arm2,natural,3,37,0.6216,0.7586,0.4519
2,1,weak-MLP,arm2,100,global,184,0.5598,0.6824,0.54
2,1,weak-MLP,arm2,100,0,34,0.7059,0.7917,0.6212
2,1,weak-MLP,arm2,100,1,55,0.5273,0.6486,0.5371
2,1,weak-MLP,arm2,100,2,46,0.5,0.6462,0.5086
2,1,weak-MLP,arm2,100,3,49,0.551,0.6765,0.5167
2,1,weak-MLP,arm2,1.0,global,184,0.5598,0.6824,0.54
2,1,weak-MLP,arm2,1.0,0,9,0.6667,0.5714,0.7857
2,1,weak-MLP,arm2,1.0,1,29,0.2759,0.2222,0.5917
2,1,weak-MLP,arm2,1.0,2,119,0.5882,0.7322,0.4053
2,1,weak-MLP,arm2,1.0,3,27,0.7037,0.7895,0.7882
2,1,weak-MLP,arm2,0.5,global,184,0.5598,0.6824,0.54
2,1,weak-MLP,arm2,0.5,0,30,0.3,0.0,nan
2,1,weak-MLP,arm2,0.5,1,67,0.3582,0.4819,0.3903
2,1,weak-MLP,arm2,0.5,2,47,0.7872,0.878,0.7121
2,1,weak-MLP,arm2,0.5,3,40,0.825,0.8986,0.6971
2,1,weak-MLP,arm2,0.1,global,184,0.5598,0.6824,0.54
2,1,weak-MLP,arm2,0.1,0,18,0.3889,0.0,nan
2,1,weak-MLP,arm2,0.1,1,77,0.2597,0.2785,0.3526
2,1,weak-MLP,arm2,0.1,2,59,0.8644,0.9273,nan
2,1,weak-MLP,arm2,0.1,3,30,0.8333,0.9091,0.0345
2,1,weak-MLP,arm2,natural,global,184,0.5598,0.6824,0.54
2,1,weak-MLP,arm2,natural,0,57,0.5088,0.6216,0.545
2,1,weak-MLP,arm2,natural,1,59,0.3729,0.3934,0.5318
2,1,weak-MLP,arm2,natural,2,26,0.9615,0.9804,0.68
2,1,weak-MLP,arm2,natural,3,42,0.6429,0.7826,0.2189
2,2,weak-MLP,arm2,100,global,184,0.6033,0.7266,0.6431
2,2,weak-MLP,arm2,100,0,40,0.725,0.8197,0.8022
2,2,weak-MLP,arm2,100,1,53,0.6038,0.7342,0.6378
2,2,weak-MLP,arm2,100,2,44,0.5455,0.6774,0.5652
2,2,weak-MLP,arm2,100,3,47,0.5532,0.6769,0.6218
2,2,weak-MLP,arm2,1.0,global,184,0.6033,0.7266,0.6431
2,2,weak-MLP,arm2,1.0,0,13,0.5385,0.625,0.7
2,2,weak-MLP,arm2,1.0,1,33,0.4848,0.5641,0.6865
2,2,weak-MLP,arm2,1.0,2,106,0.6226,0.75,0.6138
2,2,weak-MLP,arm2,1.0,3,32,0.6875,0.8077,0.6364
2,2,weak-MLP,arm2,0.5,global,184,0.6033,0.7266,0.6431
2,2,weak-MLP,arm2,0.5,0,29,0.2414,0.0,nan
2,2,weak-MLP,arm2,0.5,1,72,0.4722,0.5957,0.6841
2,2,weak-MLP,arm2,0.5,2,42,0.9286,0.963,nan
2,2,weak-MLP,arm2,0.5,3,41,0.7561,0.8571,0.5636
2,2,weak-MLP,arm2,0.1,global,184,0.6033,0.7266,0.6431
2,2,weak-MLP,arm2,0.1,0,22,0.2273,0.0,nan
2,2,weak-MLP,arm2,0.1,1,80,0.35,0.4222,0.6858
2,2,weak-MLP,arm2,0.1,2,59,0.9322,0.9649,nan
2,2,weak-MLP,arm2,0.1,3,23,1.0,1.0,nan
2,2,weak-MLP,arm2,natural,global,184,0.6033,0.7266,0.6431
2,2,weak-MLP,arm2,natural,0,71,0.4789,0.5747,0.686
2,2,weak-MLP,arm2,natural,1,47,0.4681,0.6032,0.5169
2,2,weak-MLP,arm2,natural,2,22,0.8182,0.9,0.35
2,2,weak-MLP,arm2,natural,3,44,0.8409,0.9091,0.6762
2,3,weak-MLP,arm2,100,global,184,0.5652,0.7101,0.594
2,3,weak-MLP,arm2,100,0,47,0.5745,0.7059,0.6196
2,3,weak-MLP,arm2,100,1,51,0.6275,0.7595,0.7023
2,3,weak-MLP,arm2,100,2,46,0.5,0.6667,0.4419
2,3,weak-MLP,arm2,100,3,40,0.55,0.7,0.5764
2,3,weak-MLP,arm2,1.0,global,184,0.5652,0.7101,0.594
2,3,weak-MLP,arm2,1.0,0,20,0.45,0.5217,0.4524
2,3,weak-MLP,arm2,1.0,1,26,0.3077,0.4,0.7583
2,3,weak-MLP,arm2,1.0,2,111,0.5946,0.7458,0.5669
2,3,weak-MLP,arm2,1.0,3,27,0.7778,0.8696,0.6357
2,3,weak-MLP,arm2,0.5,global,184,0.5652,0.7101,0.594
2,3,weak-MLP,arm2,0.5,0,32,0.1875,0.0714,1.0
2,3,weak-MLP,arm2,0.5,1,75,0.4133,0.5849,0.548
2,3,weak-MLP,arm2,0.5,2,43,0.907,0.9512,0.8571
2,3,weak-MLP,arm2,0.5,3,34,0.8235,0.9,0.5774
2,3,weak-MLP,arm2,0.1,global,184,0.5652,0.7101,0.594
2,3,weak-MLP,arm2,0.1,0,29,0.1724,0.0,nan
2,3,weak-MLP,arm2,0.1,1,70,0.2571,0.3953,0.5943
2,3,weak-MLP,arm2,0.1,2,62,0.9355,0.9667,nan
2,3,weak-MLP,arm2,0.1,3,23,1.0,1.0,nan
2,3,weak-MLP,arm2,natural,global,184,0.5652,0.7101,0.594
2,3,weak-MLP,arm2,natural,0,55,0.5091,0.64,0.7253
2,3,weak-MLP,arm2,natural,1,56,0.3214,0.4571,0.4054
2,3,weak-MLP,arm2,natural,2,32,0.875,0.9333,0.3393
2,3,weak-MLP,arm2,natural,3,41,0.7317,0.8451,0.4364
2,4,weak-MLP,arm2,100,global,184,0.5598,0.6747,0.539
2,4,weak-MLP,arm2,100,0,48,0.5417,0.6562,0.4653
2,4,weak-MLP,arm2,100,1,55,0.5818,0.7013,0.5455
2,4,weak-MLP,arm2,100,2,36,0.5833,0.6809,0.6378
2,4,weak-MLP,arm2,100,3,45,0.5333,0.6557,0.5283
2,4,weak-MLP,arm2,1.0,global,184,0.5598,0.6747,0.539
2,4,weak-MLP,arm2,1.0,0,15,0.2667,0.2667,0.25
2,4,weak-MLP,arm2,1.0,1,34,0.4118,0.4118,0.619
2,4,weak-MLP,arm2,1.0,2,103,0.6602,0.7712,0.537
2,4,weak-MLP,arm2,1.0,3,32,0.5312,0.6809,0.5459
2,4,weak-MLP,arm2,0.5,global,184,0.5598,0.6747,0.539
2,4,weak-MLP,arm2,0.5,0,37,0.2162,0.0,0.0278
2,4,weak-MLP,arm2,0.5,1,66,0.5455,0.625,0.5926
2,4,weak-MLP,arm2,0.5,2,43,0.8372,0.9114,nan
2,4,weak-MLP,arm2,0.5,3,38,0.6053,0.7541,0.5023
2,4,weak-MLP,arm2,0.1,global,184,0.5598,0.6747,0.539
2,4,weak-MLP,arm2,0.1,0,32,0.2188,0.0,nan
2,4,weak-MLP,arm2,0.1,1,68,0.3971,0.4225,0.4822
2,4,weak-MLP,arm2,0.1,2,54,0.8704,0.9307,nan
2,4,weak-MLP,arm2,0.1,3,30,0.7333,0.8462,nan
2,4,weak-MLP,arm2,natural,global,184,0.5598,0.6747,0.539
2,4,weak-MLP,arm2,natural,0,60,0.5167,0.6329,0.5502
2,4,weak-MLP,arm2,natural,1,68,0.4412,0.4865,0.4542
2,4,weak-MLP,arm2,natural,2,20,0.8,0.8889,nan
2,4,weak-MLP,arm2,natural,3,36,0.7222,0.8333,0.2723
3,0,weak-MLP,arm2,100,global,184,0.663,0.7459,0.6465
3,0,weak-MLP,arm2,100,0,49,0.6531,0.7385,0.6397
3,0,weak-MLP,arm2,100,1,44,0.7045,0.7636,0.6208
3,0,weak-MLP,arm2,100,2,42,0.5952,0.6909,0.7
