seed,fold,model,arm,condition,client,n,accuracy,f1,auroc
0,1,MLP,arm1,natural,0,64,0.7969,0.806,0.8909
0,1,MLP,arm1,natural,1,51,0.6863,0.619,0.8037
0,1,MLP,arm1,natural,2,28,0.9643,0.9818,0.7778
0,1,MLP,arm1,natural,3,41,0.7561,0.8529,0.8472
0,1,MLP,arm2,100,global,184,0.7935,0.8304,0.8736
0,1,MLP,arm2,100,0,37,0.6216,0.65,0.8274
0,1,MLP,arm2,100,1,41,0.8293,0.8627,0.8995
0,1,MLP,arm2,100,2,49,0.8571,0.8889,0.8897
0,1,MLP,arm2,100,3,57,0.8246,0.8571,0.8951
0,1,MLP,arm2,1.0,global,184,0.7989,0.8341,0.8745
0,1,MLP,arm2,1.0,0,38,0.7368,0.7826,0.9417
0,1,MLP,arm2,1.0,1,62,0.7581,0.8052,0.8294
0,1,MLP,arm2,1.0,2,48,0.8958,0.9091,0.9441
0,1,MLP,arm2,1.0,3,36,0.8056,0.8444,0.8514
0,1,MLP,arm2,0.5,global,184,0.7772,0.821,0.8665
0,1,MLP,arm2,0.5,0,57,0.6316,0.4878,0.7902
0,1,MLP,arm2,0.5,1,75,0.92,0.9559,0.8971
0,1,MLP,arm2,0.5,2,33,0.8485,0.8571,0.9741
0,1,MLP,arm2,0.5,3,19,0.5263,0.4706,0.9
0,1,MLP,arm2,0.1,global,184,0.625,0.7454,0.8761
0,1,MLP,arm2,0.1,0,59,0.1695,0.0,nan
0,1,MLP,arm2,0.1,1,102,0.9902,0.9951,nan
0,1,MLP,arm2,0.1,2,16,0.1875,0.0,nan
0,1,MLP,arm2,0.1,3,7,0.1429,0.0,nan
0,1,MLP,arm2,natural,global,184,0.7717,0.8158,0.8694
0,1,MLP,arm2,natural,0,64,0.7656,0.7619,0.8889
0,1,MLP,arm2,natural,1,51,0.7059,0.6512,0.813
0,1,MLP,arm2,natural,2,28,0.9286,0.963,0.8519
0,1,MLP,arm2,natural,3,41,0.7561,0.8529,0.8194
0,2,LR,arm1,,global,184,0.7228,0.7512,0.8252
0,2,LR,arm1,100,0,37,0.8108,0.8108,0.8596
0,2,LR,arm1,100,1,53,0.7736,0.8125,0.875
0,2,LR,arm1,100,2,46,0.6087,0.64,0.7467
0,2,LR,arm1,100,3,48,0.7083,0.7407,0.8219
0,2,LR,arm1,1.0,0,42,0.8095,0.84,0.8729
0,2,LR,arm1,1.0,1,72,0.7083,0.7529,0.818
0,2,LR,arm1,1.0,2,46,0.6522,0.6522,0.7576
0,2,LR,arm1,1.0,3,24,0.75,0.75,0.95
0,2,LR,arm1,0.5,0,60,0.7167,0.5405,0.7823
0,2,LR,arm1,0.5,1,74,0.7432,0.848,0.9375
0,2,LR,arm1,0.5,2,34,0.7059,0.6667,0.8608
0,2,LR,arm1,0.5,3,16,0.6875,0.6154,0.9792
0,2,LR,arm1,0.1,0,64,0.6719,0.0,nan
0,2,LR,arm1,0.1,1,102,0.7549,0.8603,nan
0,2,LR,arm1,0.1,2,10,0.8,0.0,nan
0,2,LR,arm1,0.1,3,8,0.625,0.0,nan
0,2,LR,arm1,natural,0,54,0.6852,0.6531,0.8283
0,2,LR,arm1,natural,1,67,0.7612,0.7037,0.8518
0,2,LR,arm1,natural,2,21,0.8571,0.9231,nan
0,2,LR,arm1,natural,3,42,0.6429,0.7619,0.5901
