seed,fold,model,arm,condition,client,n,accuracy,f1,auroc
7,0,VQC,arm4,0.1,0,24,0.6667,0.0,nan
7,0,VQC,arm4,0.1,1,9,0.6667,0.8,nan
7,0,VQC,arm4,0.1,2,8,0.875,0.9333,nan
7,0,VQC,arm4,0.1,3,143,0.7832,0.8166,0.8785
7,1,VQC,arm4,0.1,global,184,0.7663,0.7923,0.8504
7,1,VQC,arm4,0.1,0,20,0.8,0.5,0.9444
7,1,VQC,arm4,0.1,1,9,0.8889,0.9412,nan
7,1,VQC,arm4,0.1,2,8,0.75,0.8571,nan
7,1,VQC,arm4,0.1,3,147,0.7551,0.7857,0.8403
7,2,VQC,arm4,0.1,global,184,0.7772,0.8,0.8505
7,2,VQC,arm4,0.1,0,25,0.84,0.5,0.9565
7,2,VQC,arm4,0.1,1,17,0.8824,0.9375,nan
7,2,VQC,arm4,0.1,2,5,1.0,1.0,nan
7,2,VQC,arm4,0.1,3,137,0.7445,0.7742,0.83
7,3,VQC,arm4,0.1,global,184,0.7554,0.7887,0.8203
7,3,VQC,arm4,0.1,0,24,0.6667,0.0,nan
7,3,VQC,arm4,0.1,1,16,0.8125,0.8966,nan
7,3,VQC,arm4,0.1,2,8,0.875,0.9333,nan
7,3,VQC,arm4,0.1,3,136,0.7574,0.795,0.837
7,4,VQC,arm4,0.1,global,184,0.75,0.789,0.7739
7,4,VQC,arm4,0.1,0,22,0.6364,0.2,0.7619
7,4,VQC,arm4,0.1,1,16,0.9375,0.9677,nan
7,4,VQC,arm4,0.1,2,9,0.7778,0.875,nan
7,4,VQC,arm4,0.1,3,137,0.7445,0.7826,0.7669
8,0,VQC,arm4,0.1,global,184,0.7609,0.7905,0.8412
8,0,VQC,arm4,0.1,0,69,0.8841,0.9385,nan
8,0,VQC,arm4,0.1,1,83,0.6867,0.0,nan
8,0,VQC,arm4,0.1,2,23,0.7826,0.878,nan
8,0,VQC,arm4,0.1,3,9,0.4444,0.6154,nan
8,1,VQC,arm4,0.1,global,184,0.6848,0.7387,0.7643
8,1,VQC,arm4,0.1,0,67,0.8358,0.9106,nan
8,1,VQC,arm4,0.1,1,82,0.5366,0.0,nan
8,1,VQC,arm4,0.1,2,26,0.8077,0.8936,nan
8,1,VQC,arm4,0.1,3,9,0.5556,0.7143,nan
8,2,VQC,arm4,0.1,global,184,0.6902,0.7273,0.7733
8,2,VQC,arm4,0.1,0,60,0.75,0.8571,nan
8,2,VQC,arm4,0.1,1,82,0.622,0.0,nan
8,2,VQC,arm4,0.1,2,27,0.7778,0.875,nan
8,2,VQC,arm4,0.1,3,15,0.6667,0.8,nan
8,3,VQC,arm4,0.1,global,184,0.6522,0.6952,0.7305
8,3,VQC,arm4,0.1,0,65,0.7231,0.8393,nan
8,3,VQC,arm4,0.1,1,81,0.5679,0.0,nan
8,3,VQC,arm4,0.1,2,20,0.55,0.7097,nan
8,3,VQC,arm4,0.1,3,18,0.8889,0.9375,1.0
8,4,VQC,arm4,0.1,global,184,0.7391,0.7736,0.8167
8,4,VQC,arm4,0.1,0,63,0.8095,0.8947,nan
8,4,VQC,arm4,0.1,1,82,0.6585,0.0,nan
8,4,VQC,arm4,0.1,2,23,0.7391,0.85,nan
8,4,VQC,arm4,0.1,3,16,0.875,0.9333,nan
9,0,VQC,arm4,0.1,global,184,0.6739,0.7321,0.7785
