seed,fold,model,condition,round,mean_pairwise_l2
2,4,weak-MLP,0.1,3,0.327316
2,4,weak-MLP,natural,0,0.173947
2,4,weak-MLP,natural,1,0.173899
2,4,weak-MLP,natural,2,0.174472
2,4,weak-MLP,natural,3,0.175748
3,0,weak-MLP,100,0,0.059676
3,0,weak-MLP,100,1,0.058403
3,0,weak-MLP,100,2,0.05783
3,0,weak-MLP,100,3,0.057533
3,0,weak-MLP,1.0,0,0.089132
3,0,weak-MLP,1.0,1,0.086492
3,0,weak-MLP,1.0,2,0.085201
3,0,weak-MLP,1.0,3,0.084459
3,0,weak-MLP,0.5,0,0.283709
3,0,weak-MLP,0.5,1,0.278361
3,0,weak-MLP,0.5,2,0.27561
3,0,weak-MLP,0.5,3,0.273906
3,0,weak-MLP,0.1,0,0.403748
3,0,weak-MLP,0.1,1,0.395451
3,0,weak-MLP,0.1,2,0.391191
3,0,weak-MLP,0.1,3,0.388538
3,0,weak-MLP,natural,0,0.213646
3,0,weak-MLP,natural,1,0.206818
3,0,weak-MLP,natural,2,0.203184
3,0,weak-MLP,natural,3,0.200827
3,1,weak-MLP,100,0,0.044328
3,1,weak-MLP,100,1,0.043692
3,1,weak-MLP,100,2,0.043345
3,1,weak-MLP,100,3,0.043142
3,1,weak-MLP,1.0,0,0.082951
3,1,weak-MLP,1.0,1,0.081305
3,1,weak-MLP,1.0,2,0.080445
3,1,weak-MLP,1.0,3,0.079924
3,1,weak-MLP,0.5,0,0.266554
3,1,weak-MLP,0.5,1,0.263183
3,1,weak-MLP,0.5,2,0.261211
3,1,weak-MLP,0.5,3,0.259868
3,1,weak-MLP,0.1,0,0.402724
3,1,weak-MLP,0.1,1,0.396072
3,1,weak-MLP,0.1,2,0.392196
3,1,weak-MLP,0.1,3,0.389558
3,1,weak-MLP,natural,0,0.226455
3,1,weak-MLP,natural,1,0.219823
3,1,weak-MLP,natural,2,0.215864
3,1,weak-MLP,natural,3,0.213075
3,2,weak-MLP,100,0,0.041427
3,2,weak-MLP,100,1,0.039995
3,2,weak-MLP,100,2,0.039177
3,2,weak-MLP,100,3,0.038635
3,2,weak-MLP,1.0,0,0.085919
3,2,weak-MLP,1.0,1,0.084666
3,2,weak-MLP,1.0,2,0.083977
3,2,weak-MLP,1.0,3,0.083551
3,2,weak-MLP,0.5,0,0.270657
3,2,weak-MLP,0.5,1,0.266781
3,2,weak-MLP,0.5,2,0.264394
3,2,weak-MLP,0.5,3,0.262709
3,2,weak-MLP,0.1,0,0.399057
3,2,weak-MLP,0.1,1,0.39235
3,2,weak-MLP,0.1,2,0.38827
3,2,weak-MLP,0.1,3,0.385405
3,2,weak-MLP,natural,0,0.212527
