seed,fold,model,condition,round,mean_pairwise_l2
2,3,VQC-circmean,0.1,4,0.584837
2,3,VQC-circmean,0.1,5,0.537705
2,3,VQC-circmean,0.1,6,0.494959
2,3,VQC-circmean,0.1,7,0.45808
2,3,VQC-circmean,0.1,8,0.427153
2,3,VQC-circmean,0.1,9,0.40142
2,3,VQC-circmean,0.1,10,0.379829
2,3,VQC-circmean,0.1,11,0.361381
2,3,VQC-circmean,0.1,12,0.345295
2,3,VQC-circmean,0.1,13,0.331057
2,3,VQC-circmean,0.1,14,0.318405
2,3,VQC-circmean,0.1,15,0.307273
2,3,VQC-circmean,0.1,16,0.297684
2,3,VQC-circmean,0.1,17,0.289641
2,3,VQC-circmean,0.1,18,0.283072
2,3,VQC-circmean,0.1,19,0.277834
2,4,VQC-circmean,0.1,0,0.751656
2,4,VQC-circmean,0.1,1,0.71735
2,4,VQC-circmean,0.1,2,0.676433
2,4,VQC-circmean,0.1,3,0.630803
2,4,VQC-circmean,0.1,4,0.583173
2,4,VQC-circmean,0.1,5,0.537272
2,4,VQC-circmean,0.1,6,0.495916
2,4,VQC-circmean,0.1,7,0.460404
2,4,VQC-circmean,0.1,8,0.430688
2,4,VQC-circmean,0.1,9,0.405943
2,4,VQC-circmean,0.1,10,0.385101
2,4,VQC-circmean,0.1,11,0.367187
2,4,VQC-circmean,0.1,12,0.351474
2,4,VQC-circmean,0.1,13,0.337527
2,4,VQC-circmean,0.1,14,0.325168
2,4,VQC-circmean,0.1,15,0.314391
2,4,VQC-circmean,0.1,16,0.305226
2,4,VQC-circmean,0.1,17,0.297628
2,4,VQC-circmean,0.1,18,0.291461
2,4,VQC-circmean,0.1,19,0.286537
3,0,VQC-circmean,0.1,0,0.726181
3,0,VQC-circmean,0.1,1,0.659821
3,0,VQC-circmean,0.1,2,0.594971
3,0,VQC-circmean,0.1,3,0.535921
3,0,VQC-circmean,0.1,4,0.486582
3,0,VQC-circmean,0.1,5,0.447564
3,0,VQC-circmean,0.1,6,0.417445
3,0,VQC-circmean,0.1,7,0.394629
3,0,VQC-circmean,0.1,8,0.377632
3,0,VQC-circmean,0.1,9,0.365125
3,0,VQC-circmean,0.1,10,0.355981
3,0,VQC-circmean,0.1,11,0.34929
3,0,VQC-circmean,0.1,12,0.344337
3,0,VQC-circmean,0.1,13,0.340564
3,0,VQC-circmean,0.1,14,0.337534
3,0,VQC-circmean,0.1,15,0.334904
3,0,VQC-circmean,0.1,16,0.332408
3,0,VQC-circmean,0.1,17,0.329856
3,0,VQC-circmean,0.1,18,0.32713
3,0,VQC-circmean,0.1,19,0.324187
3,1,VQC-circmean,0.1,0,0.717644
3,1,VQC-circmean,0.1,1,0.648155
3,1,VQC-circmean,0.1,2,0.583484
3,1,VQC-circmean,0.1,3,0.527213
3,1,VQC-circmean,0.1,4,0.48093
3,1,VQC-circmean,0.1,5,0.444144
3,1,VQC-circmean,0.1,6,0.415598
3,1,VQC-circmean,0.1,7,0.393884
3,1,VQC-circmean,0.1,8,0.377639
3,1,VQC-circmean,0.1,9,0.365624
3,1,VQC-circmean,0.1,10,0.356772
3,1,VQC-circmean,0.1,11,0.350205
3,1,VQC-circmean,0.1,12,0.345223
3,1,VQC-circmean,0.1,13,0.341276
3,1,VQC-circmean,0.1,14,0.337933
3,1,VQC-circmean,0.1,15,0.334863
3,1,VQC-circmean,0.1,16,0.33182
3,1,VQC-circmean,0.1,17,0.328642
3,1,VQC-circmean,0.1,18,0.325244
3,1,VQC-circmean,0.1,19,0.321617
3,2,VQC-circmean,0.1,0,0.705383
3,2,VQC-circmean,0.1,1,0.64909
3,2,VQC-circmean,0.1,2,0.591242
3,2,VQC-circmean,0.1,3,0.537466
3,2,VQC-circmean,0.1,4,0.49124
3,2,VQC-circmean,0.1,5,0.453473
3,2,VQC-circmean,0.1,6,0.423683
3,2,VQC-circmean,0.1,7,0.400769
3,2,VQC-circmean,0.1,8,0.383425
3,2,VQC-circmean,0.1,9,0.370369
3,2,VQC-circmean,0.1,10,0.360467
3,2,VQC-circmean,0.1,11,0.352782
3,2,VQC-circmean,0.1,12,0.346568
3,2,VQC-circmean,0.1,13,0.341257
3,2,VQC-circmean,0.1,14,0.336431
3,2,VQC-circmean,0.1,15,0.33181
3,2,VQC-circmean,0.1,16,0.327239
3,2,VQC-circmean,0.1,17,0.322667
3,2,VQC-circmean,0.1,18,0.318127
3,2,VQC-circmean,0.1,19,0.313707
3,3,VQC-circmean,0.1,0,0.715375
3,3,VQC-circmean,0.1,1,0.657356
3,3,VQC-circmean,0.1,2,0.601024
3,3,VQC-circmean,0.1,3,0.548933
3,3,VQC-circmean,0.1,4,0.503457
3,3,VQC-circmean,0.1,5,0.465581
3,3,VQC-circmean,0.1,6,0.435037
3,3,VQC-circmean,0.1,7,0.411008
3,3,VQC-circmean,0.1,8,0.392503
3,3,VQC-circmean,0.1,9,0.3785
3,3,VQC-circmean,0.1,10,0.368039
3,3,VQC-circmean,0.1,11,0.360279
3,3,VQC-circmean,0.1,12,0.354523
3,3,VQC-circmean,0.1,13,0.350208
3,3,VQC-circmean,0.1,14,0.346884
3,3,VQC-circmean,0.1,15,0.344196
3,3,VQC-circmean,0.1,16,0.341865
3,3,VQC-circmean,0.1,17,0.339679
3,3,VQC-circmean,0.1,18,0.337487
3,3,VQC-circmean,0.1,19,0.335199
3,4,VQC-circmean,0.1,0,0.71284
3,4,VQC-circmean,0.1,1,0.652904
3,4,VQC-circmean,0.1,2,0.594182
3,4,VQC-circmean,0.1,3,0.541257
3,4,VQC-circmean,0.1,4,0.496544
3,4,VQC-circmean,0.1,5,0.460252
3,4,VQC-circmean,0.1,6,0.431605
3,4,VQC-circmean,0.1,7,0.409475
3,4,VQC-circmean,0.1,8,0.392639
3,4,VQC-circmean,0.1,9,0.379912
3,4,VQC-circmean,0.1,10,0.370239
3,4,VQC-circmean,0.1,11,0.362734
3,4,VQC-circmean,0.1,12,0.356686
3,4,VQC-circmean,0.1,13,0.351543
3,4,VQC-circmean,0.1,14,0.346894
3,4,VQC-circmean,0.1,15,0.342453
3,4,VQC-circmean,0.1,16,0.338049
3,4,VQC-circmean,0.1,17,0.333607
3,4,VQC-circmean,0.1,18,0.329141
3,4,VQC-circmean,0.1,19,0.324721
4,0,VQC-circmean,0.1,0,0.584541
4,0,VQC-circmean,0.1,1,0.552182
4,0,VQC-circmean,0.1,2,0.517703
4,0,VQC-circmean,0.1,3,0.481406
4,0,VQC-circmean,0.1,4,0.446898
4,0,VQC-circmean,0.1,5,0.417158
4,0,VQC-circmean,0.1,6,0.39279
4,0,VQC-circmean,0.1,7,0.372987
4,0,VQC-circmean,0.1,8,0.356631
4,0,VQC-circmean,0.1,9,0.342841
4,0,VQC-circmean,0.1,10,0.331134
4,0,VQC-circmean,0.1,11,0.321156
4,0,VQC-circmean,0.1,12,0.312212
4,0,VQC-circmean,0.1,13,0.302959
4,0,VQC-circmean,0.1,14,0.292297
4,0,VQC-circmean,0.1,15,0.281533
4,0,VQC-circmean,0.1,16,0.272574
4,0,VQC-circmean,0.1,17,0.265462
4,0,VQC-circmean,0.1,18,0.260033
4,0,VQC-circmean,0.1,19,0.256108
4,1,VQC-circmean,0.1,0,0.597712
4,1,VQC-circmean,0.1,1,0.561221
4,1,VQC-circmean,0.1,2,0.521502
4,1,VQC-circmean,0.1,3,0.480231
4,1,VQC-circmean,0.1,4,0.441517
4,1,VQC-circmean,0.1,5,0.407697
4,1,VQC-circmean,0.1,6,0.3793
4,1,VQC-circmean,0.1,7,0.355887
4,1,VQC-circmean,0.1,8,0.336587
4,1,VQC-circmean,0.1,9,0.320637
4,1,VQC-circmean,0.1,10,0.307426
4,1,VQC-circmean,0.1,11,0.29623
4,1,VQC-circmean,0.1,12,0.286094
4,1,VQC-circmean,0.1,13,0.276539
4,1,VQC-circmean,0.1,14,0.268377
4,1,VQC-circmean,0.1,15,0.262295
4,1,VQC-circmean,0.1,16,0.257803
4,1,VQC-circmean,0.1,17,0.254378
